Ext.get_result,0,0,0,vocola_ext_test,vocola_ext_test.get_result
Vocola.Load,1,1,1,vocola_ext_test,vocola_ext_test.load
Experimental.Hash,1,1,0,vocola_ext_test,vocola_ext_test.calculate_MD5
Variable.Set,2,2,1,vocola_ext_variables,vocola_ext_variables.variable_set
Variable.Unset,1,1,1,vocola_ext_variables,vocola_ext_variables.variable_unset
Variable.Get,1,2,0,vocola_ext_variables,vocola_ext_variables.variable_get
Variable.Let,2,2,0,vocola_ext_variables,vocola_ext_variables.variable_let
Vocola.Abort,0,0,1,vocola_ext_vocola,vocola_ext_vocola.vocola_abort
Vocola.Error,1,1,0,vocola_ext_vocola,vocola_ext_vocola.vocola_error
Vocola.Alert,1,1,1,vocola_ext_vocola,vocola_ext_vocola.vocola_alert
Vocola.Print,1,1,1,vocola_ext_vocola,vocola_ext_vocola.vocola_print
Window.Minimized,0,0,0,vocola_ext_window_miscellaneous,vocola_ext_window_miscellaneous.minimized
Window.Maximized,0,0,0,vocola_ext_window_miscellaneous,vocola_ext_window_miscellaneous.maximized
Window.Minimize,0,0,1,vocola_ext_window_miscellaneous,vocola_ext_window_miscellaneous.minimize
Window.Maximize,0,0,1,vocola_ext_window_miscellaneous,vocola_ext_window_miscellaneous.maximize
Window.Restore,0,0,1,vocola_ext_window_miscellaneous,vocola_ext_window_miscellaneous.restore
Window.Close,0,0,1,vocola_ext_window_miscellaneous,vocola_ext_window_miscellaneous.close
Window.GetPosition,0,0,0,vocola_ext_window_miscellaneous,vocola_ext_window_miscellaneous.get_position
Window.GetSize,0,0,0,vocola_ext_window_miscellaneous,vocola_ext_window_miscellaneous.get_size
Window.Move,1,1,1,vocola_ext_window_miscellaneous,vocola_ext_window_miscellaneous.move_window
Window.Resize,1,1,1,vocola_ext_window_miscellaneous,vocola_ext_window_miscellaneous.resize_window
Window.Success,0,0,0,vocola_ext_window_status,vocola_ext_window_status.window_success
Auto.dump,1,1,1,vocola_ext_winGuiAuto,vocola_ext_winGuiAuto.dump
Auto.clickStatic,2,2,1,vocola_ext_winGuiAuto,vocola_ext_winGuiAuto.click_static
Auto.clickButton,2,2,1,vocola_ext_winGuiAuto,vocola_ext_winGuiAuto.click_button
